ID,PlayerName,GamesPlayed,GamesStarted,TotalAssists,AssistsPerGame,Turnover,TurnoversPerGame,AssistsPerTurnover
1,T. Haliburton,69,68,752,10.9,159,2.3,4.7
2,L. Doncic,70,70,686,9.8,282,4.0,2.4
3,N. Jokic,79,79,708,9.0,237,3.0,3.0
4,J. Harden,72,72,614,8.5,185,2.6,3.3
5,L. James,71,71,589,8.3,245,3.5,2.4
6,D. Sabonis,82,82,673,8.2,272,3.3,2.5
7,F. VanVleet,73,73,589,8.1,126,1.7,4.7
8,C. Cunningham,62,62,464,7.5,212,3.4,2.2
9,T. Jones,66,66,485,7.3,66,1.0,7.3
10,D. Lillard,73,73,508,7.0,193,2.6,2.6
11,D. Booker,68,68,472,6.9,178,2.6,2.7
12,C. Paul,58,18,393,6.8,76,1.3,5.2
13,J. Brunson,77,77,519,6.7,186,2.4,2.8
14,G. Antetokounmpo,73,73,476,6.5,250,3.4,1.9
15,J. Murray,59,59,384,6.5,125,2.1,3.1
16,D. Murray,78,78,502,6.4,201,2.6,2.5
17,D. Russell,76,69,482,6.3,156,2.1,3.1
18,S. Gilgeous-Alexander,75,75,465,6.2,162,2.2,2.9
19,T. Jones,77,48,478,6.2,116,1.5,4.1
20,T. Maxey,70,70,433,6.2,116,1.7,3.7
21,S. Barnes,60,60,363,6.1,165,2.8,2.2
22,D. Schroder,80,58,488,6.1,153,1.9,3.2
23,M. Conley,76,76,449,5.9,102,1.3,4.4
24,B. Ingram,64,64,363,5.7,163,2.6,2.2
25,D. Fox,74,74,418,5.6,194,2.6,2.2
26,T. Rozier,61,60,342,5.6,106,1.7,3.2
27,T. McConnell,71,4,390,5.5,108,1.5,3.6
28,A. Reaves,82,57,450,5.5,174,2.1,2.6
29,P. Banchero,80,80,431,5.4,247,3.1,1.7
30,S. Henderson,62,32,336,5.4,212,3.4,1.6
31,D. DeRozan,79,79,421,5.3,135,1.7,3.1
32,K. Irving,58,58,299,5.2,106,1.8,2.8
33,D. White,73,73,377,5.2,112,1.5,3.4
34,S. Curry,74,74,379,5.1,210,2.8,1.8
35,A. Edwards,79,78,405,5.1,241,3.1,1.7
36,C. LeVert,68,10,346,5.1,117,1.7,3.0
37,M. Monk,72,0,370,5.1,150,2.1,2.5
38,C. White,79,78,405,5.1,166,2.1,2.4
39,J. Butler,60,60,298,5.0,102,1.7,2.9
40,K. Durant,75,75,378,5.0,244,3.3,1.5
41,A. Sengun,63,63,312,5.0,162,2.6,1.9
42,Z. Williamson,70,70,352,5.0,193,2.8,1.8
43,I. Quickley,68,38,331,4.9,101,1.5,3.3
44,C. Sexton,78,51,383,4.9,165,2.1,2.3
45,J. Tatum,74,74,364,4.9,188,2.5,1.9
46,J. Giddey,80,80,386,4.8,168,2.1,2.3
47,J. Holiday,69,69,333,4.8,124,1.8,2.7
48,S. Dinwiddie,76,52,356,4.7,91,1.2,3.9
49,C. McCollum,66,66,305,4.6,110,1.7,2.8
50,R. Westbrook,68,11,306,4.5,144,2.1,2.1
