ID,PlayerName,GamesPlayed,SoloTackles,AssistedTackles,TotalTackles,Interceptions,InterceptionYards,LongestInterceptions,InterceptionsReturnedForTouchdowns,ForcedFumbles,FumbleRecoveries,FumbleRecoveriesReturnedForTouchdowns,Sacks,PassesDefensed,Safties
1,D. Bland,17,53,16,69,9,209,63,5,0,0,0,0.0,15,0
2,G. Stone,17,44,22,66,7,101,36,0,0,0,0,0.0,9,0
3,J. Bates III,17,89,43,132,6,95,92,1,3,0,0,0.0,11,0
4,R. Douglas,16,47,14,61,5,56,40,1,0,3,0,1.0,14,0
5,D. Stingley Jr.,11,28,11,39,5,17,14,0,0,0,0,0.0,13,0
6,C. Ward,17,56,16,72,5,91,66,1,1,0,0,0.0,23,0
7,P. Adebo,15,60,16,76,4,32,27,0,2,2,0,0.0,18,0
8,J. Blackmon,15,65,23,88,4,39,25,0,0,2,0,0.0,8,0
9,A. Cisco,15,42,20,62,4,68,29,0,1,0,0,0.5,5,0
10,T. Edmunds,15,69,44,113,4,61,45,1,1,1,0,0.0,7,0
11,M. Emerson,16,45,14,59,4,25,14,0,0,0,0,0.0,14,0
12,K. Hamilton,15,63,18,81,4,25,18,1,1,0,0,3.0,13,0
13,J. Johnson,14,31,5,36,4,65,39,1,1,0,0,0.0,10,0
14,K. Joseph,15,68,13,81,4,37,22,0,0,0,0,0.0,11,0
15,J. Love,17,78,32,110,4,7,7,0,2,1,0,0.0,10,0
16,T. Mathieu,17,50,25,75,4,122,74,1,0,0,0,0.0,9,0
17,S. Nelson,17,48,15,63,4,33,33,0,0,0,0,0.0,12,0
18,T. Stevenson,16,63,21,84,4,46,34,0,2,0,0,0.0,16,0
19,C. Taylor-Britt,12,40,10,50,4,65,30,1,1,0,0,0.0,11,0
20,,15,59,19,78,4,49,35,0,1,0,0,1.0,9,0
21,F. Warner,17,82,50,132,4,63,32,0,4,0,0,2.5,11,0
22,J. Whitehead,17,65,32,97,4,6,6,0,0,0,0,0.5,9,0
23,D. Williams,17,44,9,53,4,72,61,1,2,0,0,0.0,19,0
24,L. Wilson,17,78,57,135,4,42,26,0,3,0,0,1.0,9,0
25,T. Adams,15,54,28,82,3,50,45,0,0,0,0,0.0,5,0
26,T. Bernard,17,84,59,143,3,2,2,0,0,3,0,6.5,5,0
27,R. Blankenship,15,75,33,108,3,17,17,0,0,1,0,0.0,11,0
28,B. Branch,15,50,24,74,3,63,50,1,1,0,0,1.0,13,0
29,A. Davis,17,14,11,25,3,66,51,0,1,3,0,0.0,8,0
30,T. Edwards,17,90,63,153,3,4,2,0,1,2,0,2.5,7,0
31,J. Fuller,17,60,33,93,3,39,21,0,3,0,0,0.0,8,0
32,T. Hufanga,10,39,12,51,3,48,28,0,0,0,0,0.0,3,0
33,J. Jacobs,15,49,6,55,3,45,20,0,0,0,0,0.0,8,0
34,D. Lenoir,17,58,26,84,3,49,28,0,0,0,0,0.0,10,0
35,X. McKinney,17,78,38,116,3,22,18,0,1,2,0,0.5,11,0
36,T. Moehrig,17,65,18,83,3,41,25,0,0,0,0,2.0,8,0
37,K. Moore,16,68,25,93,3,115,66,2,0,0,0,1.5,6,0
38,B. Murphy,14,43,14,57,3,59,37,0,1,0,0,0.0,13,0
39,J. Ramsey,10,18,4,22,3,52,49,0,0,0,0,0.0,5,0
40,J. Simmons,15,53,17,70,3,39,33,0,2,1,0,1.0,8,0
41,R. Spillane,17,82,66,148,3,53,25,0,1,1,0,3.5,4,0
42,A. Winfield Jr.,17,76,46,122,3,28,28,0,6,4,0,6.0,12,0
43,A. Witherspoon,17,43,9,52,3,17,17,0,0,2,0,0.0,14,0
44,D. Belton,17,19,10,29,2,22,20,0,0,1,0,1.0,2,0
45,A. Highsmith,17,34,23,57,2,30,30,1,2,0,0,7.0,3,0
46,J. Martin,16,26,14,40,2,7,7,0,0,0,0,1.0,4,0
47,G. Newsome II,14,34,15,49,2,34,34,1,0,0,0,0.5,14,0
48,J. Pinnock,16,59,26,85,2,123,102,1,2,0,0,2.0,6,0
49,A. Taylor,17,56,19,75,2,16,16,0,1,0,0,1.0,14,0
50,R. Thomas II,17,30,4,34,2,5,5,0,0,0,0,0.0,4,0
