ID,PlayerName,GamesPlayed,Receptions,ReceivingYards,ReceivingYardsPerGame,AverageYardsPerReception,LongestReception,ReceivingTouchdowns
1,T. Hill,16,119,1799,112.4,15.1,78,13
2,C. Lamb,17,135,1749,102.9,13.0,92,12
3,A. St. Brown,16,119,1515,94.7,12.7,70,10
4,P. Nacua,17,105,1486,87.4,14.2,80,6
5,A. Brown,17,106,1456,85.6,13.7,59,7
6,D. Moore,17,96,1364,80.2,14.2,58,8
7,B. Aiyuk,16,75,1342,83.9,17.9,76,7
8,N. Collins,15,80,1297,86.5,16.2,75,8
9,M. Evans,17,79,1255,73.8,15.9,75,13
10,A. Cooper,15,72,1250,83.3,17.4,75,5
11,K. Allen,13,108,1243,95.6,11.5,42,7
12,J. Chase,16,100,1216,76.0,12.2,76,7
13,S. Diggs,17,107,1183,69.6,11.1,55,8
14,M. Pittman,16,109,1152,72.0,10.6,75,4
15,D. Adams,17,103,1144,67.3,11.1,46,8
16,G. Pickens,17,63,1140,67.1,18.1,86,5
17,C. Olave,16,87,1123,70.2,12.9,51,5
18,D. Metcalf,16,66,1114,69.6,16.9,73,8
19,J. Jefferson,10,68,1074,107.4,15.8,52,5
20,D. Smith,16,81,1066,66.6,13.2,63,7
21,D. Hopkins,17,75,1057,62.2,14.1,61,7
22,G. Wilson,17,95,1042,61.3,11.0,68,3
23,C. Godwin,17,83,1024,60.2,12.3,47,2
24,G. Kittle,16,65,1020,63.8,15.7,66,6
25,C. Ridley,17,76,1016,59.8,13.4,59,8
26,A. Thielen,17,103,1014,59.6,9.8,32,4
27,J. Waddle,14,72,1014,72.4,14.1,60,4
28,T. McLaurin,17,79,1002,58.9,12.7,48,4
29,T. Kelce,15,93,984,65.6,10.6,53,5
30,E. Engram,17,114,963,56.6,8.5,34,4
31,T. Hockenson,15,95,960,64.0,10.1,29,5
32,R. Rice,16,79,938,58.6,11.9,67,7
33,J. Addison,17,70,911,53.6,13.0,62,10
34,D. London,16,69,905,56.6,13.1,45,2
35,T. Lockett,17,79,894,52.6,11.3,37,5
36,D. Samuel,15,60,892,59.5,14.9,54,7
37,S. LaPorta,17,86,889,52.3,10.3,48,10
38,D. Njoku,16,81,882,55.1,10.9,43,6
39,Z. Flowers,16,77,858,53.6,11.1,75,5
40,T. McBride,17,81,825,48.5,10.2,38,3
41,J. Meyers,16,71,807,50.4,11.4,33,8
42,J. Reed,16,64,793,49.6,12.4,59,8
43,C. Kirk,12,57,787,65.6,13.8,57,3
44,C. Sutton,16,59,772,48.3,13.1,46,10
45,J. Downs,17,68,771,45.4,11.3,59,2
46,D. Slayton,17,50,770,45.3,15.4,80,4
47,J. Ferguson,17,71,761,44.8,10.7,40,5
48,J. Jeudy,16,54,758,47.4,14.0,47,2
49,G. Davis,17,45,746,43.9,16.6,57,7
50,C. Kupp,12,59,737,61.4,12.5,62,5
