Name,GP,PA,PC,CP,PY,PYG,LC,TD,IN,SCK,YDSL
T. Tagovailoa,17,560,388,69.3,4624,272.0,78,29,14,29,171
J. Goff,17,605,407,67.3,4575,269.1,70,30,12,30,197
D. Prescott,17,590,410,69.5,4516,265.6,92,36,9,39,255
J. Allen,17,579,385,66.5,4306,253.3,81,29,18,24,152
B. Purdy,16,444,308,69.4,4280,267.5,76,31,11,28,153
P. Mahomes,16,597,401,67.2,4183,261.4,67,27,14,27,186
J. Love,17,579,372,64.2,4159,244.6,77,32,11,30,242
C. Stroud,15,499,319,63.9,4108,273.9,75,23,5,38,331
B. Mayfield,17,566,364,64.3,4044,237.9,75,28,10,40,232
T. Lawrence,16,564,370,65.6,4016,251.0,65,21,14,35,224
M. Stafford,15,521,326,62.6,3965,264.3,80,24,11,30,205
S. Howell,17,612,388,63.4,3946,232.1,51,21,21,65,449
D. Carr,17,548,375,68.4,3878,228.1,58,25,8,31,218
J. Hurts,17,538,352,65.4,3858,226.9,63,23,15,36,222
L. Jackson,16,457,307,67.2,3678,229.9,80,24,7,37,218
G. Smith,15,499,323,64.7,3624,241.6,73,20,9,31,231
G. Minshew,17,490,305,62.2,3305,194.4,75,15,9,34,187
J. Herbert,13,456,297,65.1,3134,241.1,60,20,7,29,233
R. Wilson,15,447,297,66.4,3070,204.7,60,26,8,45,258
B. Young,16,527,315,59.8,2877,179.8,48,11,10,62,477
D. Ridder,15,388,249,64.2,2836,189.1,71,12,12,31,197
J. Fields,13,370,227,61.4,2562,197.1,58,16,9,44,285
J. Dobbs,13,417,262,62.8,2464,189.5,69,13,10,30,217
K. Cousins,8,311,216,69.5,2331,291.4,62,18,5,17,110
J. Burrow,10,365,244,66.8,2309,230.9,64,15,6,24,180
Z. Wilson,12,368,221,60.1,2271,189.3,68,8,7,46,340
A. O'Connell,11,343,213,62.1,2218,201.6,50,12,7,24,173
M. Jones,11,345,224,64.9,2120,192.7,58,10,12,22,127
K. Pickett,12,324,201,62.0,2070,172.5,72,6,4,23,173
J. Browning,9,243,171,70.4,1936,215.1,80,12,7,24,169
W. Levis,9,255,149,58.4,1808,200.9,61,8,4,28,185
K. Murray,8,268,176,65.7,1799,224.9,48,10,5,18,119
J. Flacco,5,204,123,60.3,1616,323.2,75,13,8,8,57
R. Tannehill,10,230,149,64.8,1616,161.6,70,4,7,32,230
T. Taylor,11,180,116,64.4,1341,121.9,80,5,3,17,94
N. Mullens,5,148,100,67.6,1306,261.2,47,7,8,12,105
B. Zappe,10,212,127,59.9,1272,127.2,48,6,9,25,191
J. Garoppolo,7,169,110,65.1,1205,172.1,32,7,9,14,101
E. Stick,5,174,111,63.8,1129,225.8,79,3,1,14,122
D. Watson,6,171,105,61.4,1115,185.8,59,7,4,17,85
T. DeVito,9,178,114,64.0,1101,122.3,41,8,3,37,196
D. Jones,6,160,108,67.5,909,151.5,58,2,6,30,167
T. Heinicke,5,136,74,54.4,890,178.0,75,5,4,8,47
T. Bagent,5,143,94,65.7,859,171.8,41,3,6,5,35
T. Siemian,5,153,86,56.2,724,144.8,30,2,4,8,40
M. Rudolph,4,74,55,74.3,719,179.8,86,3,0,6,43
P. Walker,6,111,54,48.6,674,112.3,58,1,5,11,90
M. Trubisky,5,107,67,62.6,632,126.4,26,4,5,7,42
A. Richardson,4,84,50,59.5,577,144.3,39,3,1,7,29
D. Lock,4,76,48,63.2,543,135.8,51,3,3,6,26
