ID,PlayerName,GamesPlayed,PuntReturns,PuntReturnYards,AverageYardsPerPuntReturn,LongestPuntReturn,PuntReturnTouchdowns,FairCatches
1,T. Wallace,11,6,127,21.2,76,1,6
1,C. Bolton,13,1,17,17.0,17,0,0
1,M. Mims,16,19,312,16.4,52,0,13
1,D. Davis,17,24,385,16.0,87,1,29
1,B. Covey,16,29,417,14.4,54,0,18
1,T. Smith,17,1,14,14.0,14,0,0
1,R. Shaheed,15,25,339,13.6,76,1,23
1,C. Kirk,12,2,27,13.5,15,0,3
1,D. Duvernay,13,23,290,12.6,70,0,20
1,D. King,10,8,101,12.6,22,0,4
1,D. Harty,16,26,323,12.4,96,1,25
1,S. Sims,3,4,49,12.3,18,0,4
1,G. Olszewski,12,24,281,11.7,94,1,8
1,E. Moore,17,2,23,11.5,13,0,0
1,K. Raymond,17,29,331,11.4,42,0,23
1,R. Moore,17,1,11,11.0,11,0,3
1,C. Jones,11,23,248,10.8,81,1,11
1,D. Dallas,17,25,265,10.6,32,0,16
1,J. Downs,17,6,63,10.5,14,0,6
1,P. Washington,9,12,126,10.5,26,0,5
1,J. Agnew,11,14,144,10.3,48,0,9
1,B. Berrios,16,23,235,10.2,19,0,24
1,R. James,9,20,200,10.0,27,0,8
1,J. Darden,1,4,39,9.8,11,0,1
1,T. Irwin,16,10,98,9.8,28,0,5
1,D. Carter,17,24,232,9.7,32,0,18
1,X. Gipson,17,33,319,9.7,65,1,30
1,K. Toney,13,6,58,9.7,21,0,0
1,G. Dortch,16,29,275,9.5,49,0,8
1,D. Thompkins,17,25,234,9.4,51,0,18
1,T. Dell,11,11,100,9.1,20,0,6
1,M. Kinsey,6,11,100,9.1,21,0,6
1,J. Proche,10,22,197,9.0,21,0,27
1,I. McKenzie,13,23,204,8.9,32,0,16
1,M. Hardman,11,7,61,8.7,50,0,5
1,I. Smith-Marsette,17,37,322,8.7,79,1,20
1,C. Austin III,17,29,249,8.6,34,0,12
1,R. McCloud,12,24,203,8.5,19,0,9
1,J. Reed,16,11,94,8.5,35,0,14
1,T. Taylor,17,23,188,8.2,31,0,21
1,D. Alford,16,20,160,8.0,23,0,7
1,K. Jackson,2,6,48,8.0,14,0,3
1,B. Robinson,17,1,8,8.0,8,0,0
1,J. Crowder,17,35,278,7.9,61,0,14
1,B. Powell,17,37,289,7.8,25,0,14
1,L. Bowden Jr.,15,7,53,7.6,16,0,1
1,E. Garror,12,21,159,7.6,15,0,5
1,M. Washington,6,8,61,7.6,23,0,4
1,C. Wilson Jr.,15,4,30,7.5,14,0,2
1,K. Shakir,17,5,37,7.4,10,0,0
