ID,PlayerName,GamesPlayed,Goals,Assists,Points,PlusMinusGoalsScoredForOrAgainstTotal,PenaltyMinutes,PowerPlayGoals,PowerPlayAssists,ShortHandedGoals,OverTimeGoals,GameWinningGoals,ShortHandedAssists,ShotsOnGoal,ShotsOnGoalPercentage,TimeOnIcePerGame,ShootoutGoalsMadeAndAttempted
1,N. Kucherov,81,44,100,144,8,22,13,40,0,1,6,0,306,14.4,21:40,0-2
1,N. MacKinnon,82,51,89,140,35,42,10,38,0,2,9,0,405,12.6,22:49,0-3
1,C. McDavid,76,32,100,132,35,30,7,37,1,1,5,0,263,12.2,21:22,2-3
1,A. Panarin,82,49,71,120,18,24,11,33,0,1,5,1,303,16.2,20:07,4-7
1,D. Pastrnak,82,47,63,110,21,47,12,23,0,0,5,0,382,12.3,19:56,2-6
1,A. Matthews,81,69,38,107,31,20,18,11,0,3,8,1,369,18.7,20:58,2-7
1,L. Draisaitl,81,41,65,106,26,76,21,18,0,2,7,2,217,18.9,20:42,1-2
1,M. Rantanen,80,42,62,104,19,50,14,26,0,0,9,0,271,15.5,22:54,1-4
1,J. Miller,81,37,66,103,32,58,10,30,2,2,9,0,194,19.1,19:29,0-2
1,W. Nylander,82,40,58,98,1,24,11,24,3,2,7,1,316,12.7,19:55,0-7
1,K. Kaprizov,75,46,50,96,11,36,19,22,0,2,8,0,277,16.6,21:35,0-6
1,S. Crosby,82,42,52,94,7,40,10,13,0,0,3,0,278,15.1,20:05,3-5
1,F. Forsberg,82,48,46,94,16,43,13,19,0,3,11,0,347,13.8,18:54,1-1
1,S. Reinhart,82,57,37,94,29,31,27,7,5,3,11,0,233,24.5,20:18,4-5
1,Q. Hughes,82,17,75,92,38,38,5,33,0,1,2,0,199,8.5,24:41,0-0
1,C. Makar,77,21,69,90,15,16,7,32,1,0,1,3,231,9.1,24:46,0-0
1,B. Point,81,46,44,90,-16,14,15,17,0,0,12,0,227,20.3,20:02,2-4
1,S. Aho,78,36,53,89,34,36,11,21,1,2,10,1,216,16.7,19:38,2-5
1,E. Pettersson,82,34,55,89,20,12,13,18,0,2,10,2,207,16.4,19:39,0-2
1,M. Tkachuk,80,26,62,88,19,88,6,26,1,0,2,0,280,9.3,18:38,0-1
1,R. Thomas,82,26,60,86,9,48,8,19,1,0,3,2,170,15.3,20:58,1-5
1,R. Josi,82,23,62,85,12,45,9,24,0,2,5,1,268,8.6,24:38,0-0
1,M. Marner,69,26,59,85,21,18,8,19,1,0,2,0,158,16.5,21:17,4-5
1,J. Bratt,82,27,56,83,-6,12,7,20,0,0,7,1,248,10.9,19:18,0-2
1,E. Bouchard,81,18,64,82,34,32,8,27,0,2,7,0,220,8.2,22:60,0-0
1,S. Stamkos,79,40,41,81,-21,34,19,20,0,0,6,0,262,15.3,18:14,1-3
1,A. Barkov,73,23,57,80,33,24,5,24,0,0,4,2,193,11.9,19:38,2-4
1,M. Barzal,80,23,57,80,-4,34,5,20,0,2,4,0,240,9.6,20:08,0-5
1,J. Robertson,82,29,51,80,19,22,9,19,0,0,4,0,231,12.6,18:19,4-6
1,J. Guentzel,67,30,47,77,25,22,5,17,0,0,2,0,238,12.6,20:01,2-5
1,Z. Hyman,80,54,23,77,36,48,15,5,0,1,7,0,290,18.6,19:30,0-0
1,N. Suzuki,82,33,44,77,-14,36,12,19,0,1,1,0,185,17.8,21:16,4-12
1,V. Trocheck,82,25,52,77,16,55,11,13,1,1,5,0,215,11.6,21:27,2-5
1,V. Hedman,78,13,63,76,18,76,4,27,0,0,2,0,168,7.7,24:48,2-4
1,C. Keller,78,33,43,76,-20,32,9,21,0,0,4,0,228,14.5,19:15,0-1
1,B. Hagel,82,26,49,75,1,79,2,5,0,1,3,2,184,14.1,19:15,0-1
1,N. Kadri,82,29,46,75,0,43,10,12,0,2,4,0,277,10.5,18:26,0-3
1,A. Kempe,77,28,47,75,13,72,5,22,3,1,4,1,246,11.4,18:56,2-5
1,C. Kreider,82,39,36,75,19,26,18,11,2,1,7,3,246,15.9,18:47,0-0
1,G. Nyquist,81,23,52,75,7,8,5,19,1,0,4,1,153,15.0,17:45,2-3
1,J. Hughes,62,27,47,74,-12,12,9,22,0,2,4,0,274,9.9,20:58,0-1
1,B. Tkachuk,81,37,37,74,1,134,12,10,0,1,2,0,357,10.4,19:09,1-2
1,B. Boeser,81,40,33,73,23,14,16,9,0,1,4,0,204,19.6,18:36,0-0
1,K. Fiala,82,29,44,73,1,62,11,19,0,1,2,0,225,12.9,18:02,0-4
1,A. Fox,72,17,56,73,21,36,6,27,1,1,5,1,137,12.4,23:27,0-0
1,L. Raymond,82,31,41,72,-12,30,6,10,0,3,4,0,163,19.0,17:45,2-4
1,M. Scheifele,74,25,47,72,19,57,6,12,0,1,4,0,154,16.2,20:11,0-1
1,C. Verhaeghe,76,34,38,72,17,36,8,13,0,1,7,0,246,13.8,17:58,0-0
1,M. Zibanejad,81,26,46,72,15,30,12,19,2,2,3,4,221,11.8,19:45,2-7
1,N. Dobson,79,10,60,70,12,36,1,23,0,0,4,1,174,5.7,24:31,0-1
